,variable,value
0,"c1,1",4.08676256254418
1,"c1,2",1.9985275043148265
2,"c1,3",-8.547468171918823
3,beta1,-5.1331952113150585
4,"c1,1",5.142435780023763
5,"c1,2",1.923347316179587
6,"c1,3",-10.29382633849212
7,beta1,-5.48693397518846
8,"c1,1",4.9496227025735715
9,"c1,2",2.004823947519652
10,"c1,3",-9.462280960906604
11,beta1,-6.016859730640878
12,"c1,1",5.591187683685189
13,"c1,2",2.1829487529891507
14,"c1,3",-10.800480115409822
15,beta1,-6.975438177678626
16,"c1,1",5.515848866376991
17,"c1,2",1.9593546479677337
18,"c1,3",-9.67655740498094
19,beta1,-6.002600906908986
20,"c1,1",4.3119295903299
21,"c1,2",1.7832544142413278
22,"c1,3",-9.409802867122552
23,beta1,-5.4207560456971855
24,"c1,1",5.6531122655131325
25,"c1,2",2.6856094619396798
26,"c1,3",-11.455269075141176
27,beta1,-7.080834560516024
28,"c1,1",5.940656920426234
29,"c1,2",2.259270983095613
30,"c1,3",-12.110876637872261
31,beta1,-7.883827890137797
32,"c1,1",4.761670274971648
33,"c1,2",1.8395884711284487
34,"c1,3",-9.19272602348454
35,beta1,-5.302214280625865
36,"c1,1",4.757998353228006
37,"c1,2",1.8878863405559316
38,"c1,3",-9.812666255484721
39,beta1,-5.495017010604804
40,"c1,1",5.054333676104759
41,"c1,2",1.9144163887982384
42,"c1,3",-9.061180961343872
43,beta1,-5.703719677796707
44,"c1,1",5.340647807588517
45,"c1,2",2.4463568346280264
46,"c1,3",-10.367292913834802
47,beta1,-6.044178617542807
48,"c1,1",4.256354647034852
49,"c1,2",1.9465541328886726
50,"c1,3",-9.336299206491296
51,beta1,-5.5251738386723375
52,"c1,1",5.930301873801424
53,"c1,2",2.0640967240825825
54,"c1,3",-10.352296077854342
55,beta1,-6.0890448280599045
56,"c1,1",4.651954948452833
57,"c1,2",1.7286955972227471
58,"c1,3",-9.116544412705354
59,beta1,-5.071376320861424
60,"c1,1",4.128041468266677
61,"c1,2",1.5776036333970755
62,"c1,3",-8.322207190322839
63,beta1,-5.070461593785446
64,"c1,1",6.764855614494407
65,"c1,2",2.019613890769136
66,"c1,3",-11.863880969406337
67,beta1,-7.128182630943213
68,"c1,1",6.088548751056379
69,"c1,2",1.9493137775347849
70,"c1,3",-9.367522500957714
71,beta1,-6.131724479252002
72,"c1,1",4.960085854361534
73,"c1,2",1.7128909492826772
74,"c1,3",-10.938984851080258
75,beta1,-6.0510709670635325
76,"c1,1",4.7663094663901004
77,"c1,2",1.6073672471663139
78,"c1,3",-10.207110936843653
79,beta1,-5.860816432623101
80,"c1,1",4.834079074813809
81,"c1,2",2.181132014821748
82,"c1,3",-10.917941824580392
83,beta1,-6.162608851338631
84,"c1,1",5.566141095108827
85,"c1,2",2.3874345493054445
86,"c1,3",-11.102956630480735
87,beta1,-6.697773323238115
88,"c1,1",5.144585837145542
89,"c1,2",1.832446427812864
90,"c1,3",-10.110041828775781
91,beta1,-6.07020792207208
92,"c1,1",4.914501381018014
93,"c1,2",1.97614225113523
94,"c1,3",-10.693170200906046
95,beta1,-6.2853493083013365
96,"c1,1",6.311471773682233
97,"c1,2",2.498209414812446
98,"c1,3",-11.623054625106072
99,beta1,-7.490630253856709
100,"c1,1",5.035786233648785
101,"c1,2",1.896113000861782
102,"c1,3",-9.72078224406906
103,beta1,-5.830359228056011
104,"c1,1",4.667864401870707
105,"c1,2",1.7849639450643915
106,"c1,3",-9.359541151680354
107,beta1,-5.312956074493902
108,"c1,1",5.625533652367354
109,"c1,2",1.7079777566526322
110,"c1,3",-11.645172368983992
111,beta1,-6.280869145996036
112,"c1,1",5.439653137282524
113,"c1,2",1.9795801319530548
114,"c1,3",-9.65752401294381
115,beta1,-5.897264927340873
116,"c1,1",5.0434060643315775
117,"c1,2",2.0328117577587332
118,"c1,3",-11.534583087967803
119,beta1,-6.456751220986865
120,"c1,1",3.6842112344732714
121,"c1,2",1.5377413403227354
122,"c1,3",-6.939355878764069
123,beta1,-4.211942450029943
124,"c1,1",4.734932483965391
125,"c1,2",1.8955617196248395
126,"c1,3",-9.705750234550873
127,beta1,-5.865488893952108
128,"c1,1",5.450756269545932
129,"c1,2",2.319622114296733
130,"c1,3",-10.001246367481677
